[0422/165614.366:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165614.367:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165614.391:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0428/111721.730:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111726.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111731.756:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111736.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111741.785:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111746.793:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111751.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111756.822:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111801.830:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111806.843:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111811.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111816.872:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111821.884:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111826.893:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111831.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111836.920:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111841.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111846.943:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111851.962:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111856.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111901.981:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111906.993:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111912.010:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111917.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111922.032:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
